NODE;X;Y;Z
1;-100.000000000;0.00000000000;0.00000000000
2;-20.0000000000;0.00000000000;0.00000000000
3;-99.0000000000;0.00000000000;0.00000000000
4;-98.0000000000;0.00000000000;0.00000000000
5;-97.0000000000;0.00000000000;0.00000000000
6;-96.0000000000;0.00000000000;0.00000000000
7;-95.0000000000;0.00000000000;0.00000000000
8;-94.0000000000;0.00000000000;0.00000000000
9;-93.0000000000;0.00000000000;0.00000000000
10;-92.0000000000;0.00000000000;0.00000000000
11;-91.0000000000;0.00000000000;0.00000000000
12;-90.0000000000;0.00000000000;0.00000000000
13;-89.0000000000;0.00000000000;0.00000000000
14;-88.0000000000;0.00000000000;0.00000000000
15;-87.0000000000;0.00000000000;0.00000000000
16;-86.0000000000;0.00000000000;0.00000000000
17;-85.0000000000;0.00000000000;0.00000000000
18;-84.0000000000;0.00000000000;0.00000000000
19;-83.0000000000;0.00000000000;0.00000000000
20;-82.0000000000;0.00000000000;0.00000000000
;;;
NODE;X;Y;Z
21;-81.0000000000;0.00000000000;0.00000000000
22;-80.0000000000;0.00000000000;0.00000000000
23;-79.0000000000;0.00000000000;0.00000000000
24;-78.0000000000;0.00000000000;0.00000000000
25;-77.0000000000;0.00000000000;0.00000000000
26;-76.0000000000;0.00000000000;0.00000000000
27;-75.0000000000;0.00000000000;0.00000000000
28;-74.0000000000;0.00000000000;0.00000000000
29;-73.0000000000;0.00000000000;0.00000000000
30;-72.0000000000;0.00000000000;0.00000000000
31;-71.0000000000;0.00000000000;0.00000000000
32;-70.0000000000;0.00000000000;0.00000000000
33;-69.0000000000;0.00000000000;0.00000000000
34;-68.0000000000;0.00000000000;0.00000000000
35;-67.0000000000;0.00000000000;0.00000000000
36;-66.0000000000;0.00000000000;0.00000000000
37;-65.0000000000;0.00000000000;0.00000000000
38;-64.0000000000;0.00000000000;0.00000000000
39;-63.0000000000;0.00000000000;0.00000000000
40;-62.0000000000;0.00000000000;0.00000000000
;;;
NODE;X;Y;Z
41;-61.0000000000;0.00000000000;0.00000000000
42;-60.0000000000;0.00000000000;0.00000000000
43;-59.0000000000;0.00000000000;0.00000000000
44;-58.0000000000;0.00000000000;0.00000000000
45;-57.0000000000;0.00000000000;0.00000000000
46;-56.0000000000;0.00000000000;0.00000000000
47;-55.0000000000;0.00000000000;0.00000000000
48;-54.0000000000;0.00000000000;0.00000000000
49;-53.0000000000;0.00000000000;0.00000000000
50;-52.0000000000;0.00000000000;0.00000000000
51;-51.0000000000;0.00000000000;0.00000000000
52;-50.0000000000;0.00000000000;0.00000000000
53;-49.0000000000;0.00000000000;0.00000000000
54;-48.0000000000;0.00000000000;0.00000000000
55;-47.0000000000;0.00000000000;0.00000000000
56;-46.0000000000;0.00000000000;0.00000000000
57;-45.0000000000;0.00000000000;0.00000000000
58;-44.0000000000;0.00000000000;0.00000000000
59;-43.0000000000;0.00000000000;0.00000000000
60;-42.0000000000;0.00000000000;0.00000000000
;;;
NODE;X;Y;Z
61;-41.0000000000;0.00000000000;0.00000000000
62;-40.0000000000;0.00000000000;0.00000000000
63;-39.0000000000;0.00000000000;0.00000000000
64;-38.0000000000;0.00000000000;0.00000000000
65;-37.0000000000;0.00000000000;0.00000000000
66;-36.0000000000;0.00000000000;0.00000000000
67;-35.0000000000;0.00000000000;0.00000000000
68;-34.0000000000;0.00000000000;0.00000000000
69;-33.0000000000;0.00000000000;0.00000000000
70;-32.0000000000;0.00000000000;0.00000000000
71;-31.0000000000;0.00000000000;0.00000000000
72;-30.0000000000;0.00000000000;0.00000000000
73;-29.0000000000;0.00000000000;0.00000000000
74;-28.0000000000;0.00000000000;0.00000000000
75;-27.0000000000;0.00000000000;0.00000000000
76;-26.0000000000;0.00000000000;0.00000000000
77;-25.0000000000;0.00000000000;0.00000000000
78;-24.0000000000;0.00000000000;0.00000000000
79;-23.0000000000;0.00000000000;0.00000000000
80;-22.0000000000;0.00000000000;0.00000000000
;;;
NODE;X;Y;Z
81;-21.0000000000;0.00000000000;0.00000000000
82;0.00000000000;20.0000000000;0.00000000000
83;-0.981353486994;19.9759091241;0.00000000000
84;-1.96034280748;19.9036945334;0.00000000000
85;-2.93460949044;19.7835301991;0.00000000000
86;-3.90180644209;19.6157056077;0.00000000000
87;-4.85960360025;19.4006250633;0.00000000000
88;-5.80569354768;19.1388067139;0.00000000000
89;-6.73779707075;18.8308813026;0.00000000000
90;-7.65366864851;18.4775906497;0.00000000000
91;-8.55110187020;18.0797858617;0.00000000000
92;-9.42793473848;17.6384252859;0.00000000000
93;-10.2820548862;17.1545721986;0.00000000000
94;-11.1114046630;16.6293922443;0.00000000000
95;-11.9139860927;16.0641506275;0.00000000000
96;-12.6878656864;15.4602090647;0.00000000000
97;-13.4311790993;14.8190225050;0.00000000000
98;-14.1421356263;14.1421356212;0.00000000000
99;-14.8190225093;13.4311790945;0.00000000000
100;-15.4602090697;12.6878656803;0.00000000000
;;;
NODE;X;Y;Z
101;-16.0641506321;11.9139860864;0.00000000000
102;-16.6293922487;11.1114046565;0.00000000000
103;-17.1545722027;10.2820548794;0.00000000000
104;-17.6384252896;9.42793473157;0.00000000000
105;-18.0797858651;8.55110186313;0.00000000000
106;-18.4775906527;7.65366864128;0.00000000000
107;-18.8308813052;6.73779706368;0.00000000000
108;-19.1388067160;5.80569354051;0.00000000000
109;-19.4006250652;4.85960359298;0.00000000000
110;-19.6157056092;3.90180643474;0.00000000000
111;-19.7835302002;2.93460948303;0.00000000000
112;-19.9036945341;1.96034280003;0.00000000000
113;-19.9759091244;0.981353479510;0.00000000000
114;0.00000000000;50.0000000000;0.00000000000
115;0.00000000000;49.0000000000;0.00000000000
116;0.00000000000;48.0000000000;0.00000000000
117;0.00000000000;47.0000000000;0.00000000000
118;0.00000000000;46.0000000000;0.00000000000
119;0.00000000000;45.0000000000;0.00000000000
120;0.00000000000;44.0000000000;0.00000000000
;;;
NODE;X;Y;Z
121;0.00000000000;43.0000000000;0.00000000000
122;0.00000000000;42.0000000000;0.00000000000
123;0.00000000000;41.0000000000;0.00000000000
124;0.00000000000;40.0000000000;0.00000000000
125;0.00000000000;39.0000000000;0.00000000000
126;0.00000000000;38.0000000000;0.00000000000
127;0.00000000000;37.0000000000;0.00000000000
128;0.00000000000;36.0000000000;0.00000000000
129;0.00000000000;35.0000000000;0.00000000000
130;0.00000000000;34.0000000000;0.00000000000
131;0.00000000000;33.0000000000;0.00000000000
132;0.00000000000;32.0000000000;0.00000000000
133;0.00000000000;31.0000000000;0.00000000000
134;0.00000000000;30.0000000000;0.00000000000
135;0.00000000000;29.0000000000;0.00000000000
136;0.00000000000;28.0000000000;0.00000000000
137;0.00000000000;27.0000000000;0.00000000000
138;0.00000000000;26.0000000000;0.00000000000
139;0.00000000000;25.0000000000;0.00000000000
140;0.00000000000;24.0000000000;0.00000000000
;;;
NODE;X;Y;Z
141;0.00000000000;23.0000000000;0.00000000000
142;0.00000000000;22.0000000000;0.00000000000
143;0.00000000000;21.0000000000;0.00000000000
144;-100.000000000;50.0000000000;0.00000000000
145;-1.00000000000;50.0000000000;0.00000000000
146;-2.00000000000;50.0000000000;0.00000000000
147;-3.00000000000;50.0000000000;0.00000000000
148;-4.00000000000;50.0000000000;0.00000000000
149;-5.00000000000;50.0000000000;0.00000000000
150;-6.00000000000;50.0000000000;0.00000000000
151;-7.00000000000;50.0000000000;0.00000000000
152;-8.00000000000;50.0000000000;0.00000000000
153;-9.00000000000;50.0000000000;0.00000000000
154;-10.0000000000;50.0000000000;0.00000000000
155;-11.0000000000;50.0000000000;0.00000000000
156;-12.0000000000;50.0000000000;0.00000000000
157;-13.0000000000;50.0000000000;0.00000000000
158;-14.0000000000;50.0000000000;0.00000000000
159;-15.0000000000;50.0000000000;0.00000000000
160;-16.0000000000;50.0000000000;0.00000000000
;;;
NODE;X;Y;Z
161;-17.0000000000;50.0000000000;0.00000000000
162;-18.0000000000;50.0000000000;0.00000000000
163;-19.0000000000;50.0000000000;0.00000000000
164;-20.0000000000;50.0000000000;0.00000000000
165;-21.0000000000;50.0000000000;0.00000000000
166;-22.0000000000;50.0000000000;0.00000000000
167;-23.0000000000;50.0000000000;0.00000000000
168;-24.0000000000;50.0000000000;0.00000000000
169;-25.0000000000;50.0000000000;0.00000000000
170;-26.0000000000;50.0000000000;0.00000000000
171;-27.0000000000;50.0000000000;0.00000000000
172;-28.0000000000;50.0000000000;0.00000000000
173;-29.0000000000;50.0000000000;0.00000000000
174;-30.0000000000;50.0000000000;0.00000000000
175;-31.0000000000;50.0000000000;0.00000000000
176;-32.0000000000;50.0000000000;0.00000000000
177;-33.0000000000;50.0000000000;0.00000000000
178;-34.0000000000;50.0000000000;0.00000000000
179;-35.0000000000;50.0000000000;0.00000000000
180;-36.0000000000;50.0000000000;0.00000000000
;;;
NODE;X;Y;Z
181;-37.0000000000;50.0000000000;0.00000000000
182;-38.0000000000;50.0000000000;0.00000000000
183;-39.0000000000;50.0000000000;0.00000000000
184;-40.0000000000;50.0000000000;0.00000000000
185;-41.0000000000;50.0000000000;0.00000000000
186;-42.0000000000;50.0000000000;0.00000000000
187;-43.0000000000;50.0000000000;0.00000000000
188;-44.0000000000;50.0000000000;0.00000000000
189;-45.0000000000;50.0000000000;0.00000000000
190;-46.0000000000;50.0000000000;0.00000000000
191;-47.0000000000;50.0000000000;0.00000000000
192;-48.0000000000;50.0000000000;0.00000000000
193;-49.0000000000;50.0000000000;0.00000000000
194;-50.0000000000;50.0000000000;0.00000000000
195;-51.0000000000;50.0000000000;0.00000000000
196;-52.0000000000;50.0000000000;0.00000000000
197;-53.0000000000;50.0000000000;0.00000000000
