1,1,2,31,30
2,2,3,32,31
3,3,4,33,32
4,4,5,34,33
5,5,6,7,34
6,30,31,35,29
7,31,32,36,35
8,32,33,37,36
9,33,34,38,37
10,34,7,8,38
11,29,35,39,28
12,35,36,40,39
13,36,37,41,40
14,37,38,42,41
15,38,8,9,42
16,28,39,43,27
17,39,40,44,43
18,40,41,45,44
19,41,42,46,45
20,42,9,10,46
21,27,43,47,26
22,43,44,48,47
23,44,45,49,48
24,45,46,50,49
25,46,10,11,50
26,26,47,51,25
27,47,48,52,51
28,48,49,53,52
29,49,50,54,53
30,50,11,12,54
31,25,51,55,24
32,51,52,56,55
33,52,53,57,56
34,53,54,58,57
35,54,12,13,58
36,24,55,59,23
37,55,56,60,59
38,56,57,61,60
39,57,58,62,61
40,58,13,14,62
41,23,59,63,22
42,59,60,64,63
43,60,61,65,64
44,61,62,66,65
45,62,14,15,66
46,22,63,20,21
47,63,64,19,20
48,64,65,18,19
49,65,66,17,18
50,66,15,16,17
51,67,68,91,90
52,68,69,92,91
53,69,70,93,92
54,70,71,94,93
55,71,72,95,94
56,72,73,96,95
57,73,74,97,96
58,74,75,98,97
59,75,76,99,98
60,76,77,78,99
61,90,91,100,89
62,91,92,101,100
63,92,93,102,101
64,93,94,103,102
65,94,95,104,103
66,95,96,105,104
67,96,97,106,105
68,97,98,107,106
69,98,99,108,107
70,99,78,79,108
71,89,100,109,88
72,100,101,110,109
73,101,102,111,110
74,102,103,112,111
75,103,104,113,112
76,104,105,114,113
77,105,106,115,114
78,106,107,116,115
79,107,108,117,116
80,108,79,80,117
81,88,109,118,87
82,109,110,119,118
83,110,111,120,119
84,111,112,121,120
85,112,113,122,121
86,113,114,123,122
87,114,115,124,123
88,115,116,125,124
89,116,117,126,125
90,117,80,81,126
91,87,118,2,1
92,118,119,3,2
93,119,120,4,3
94,120,121,5,4
95,121,122,6,5
96,122,123,86,6
97,123,124,85,86
98,124,125,84,85
99,125,126,83,84
100,126,81,82,83
